object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5527,,Chair for the imperial court,1644-1911,27,Decorative Arts,Lacquer on wood,Lacquer on wood,H. 44 in x W. 26 in x D. 20 in,2,,https://searchcollection.asianart.org/objects/3807/chair-for-the-imperial-court?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=771,https://searchcollection.asianart.org/internal/media/dispatcher/73502/preview,,The Avery Brundage Collection,B60M28+,2026-06-03,1,,
5528,,Plate with swallows and apricot blossoms,1662-1722,27,Ceramics,Porcelain with overglaze multicolor decoration,Porcelain with overglaze multicolor decoration,"H. 2 3/8 in x Diam. 14 3/8 in, H. 6.0 cm x Diam. 36.5 cm",2,,https://searchcollection.asianart.org/objects/4126/plate-with-swallows-and-apricot-blossoms?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=775,https://searchcollection.asianart.org/internal/media/dispatcher/17556/preview,,The Avery Brundage Collection,B60P1534,2026-06-03,1,,
5529,,"Plate with design of dragons, citrons, and pomegranates",1662-1722,27,Ceramics,Porcelain with incised design under multicolor glazes,Porcelain with incised design under multicolor glazes,"H. 1 7/8 in x Diam. 9 3/4 in, H. 4.8 cm x Diam. 24.8 cm",2,,https://searchcollection.asianart.org/objects/4250/plate-with-design-of-dragons-citrons-and-pomegranates?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=778,https://searchcollection.asianart.org/internal/media/dispatcher/17827/preview,,The Avery Brundage Collection,B60P1754,2026-06-03,1,,
5530,,Vase with peaches,1736-1795,27,Ceramics,Porcelain with overglaze multicolor decoration,Porcelain with overglaze multicolor decoration,"H. 19 5/8 in x Diam. 14 1/2 in, H. 49.8 cm x Diam. 36.8 cm",2,,https://searchcollection.asianart.org/objects/4683/vase-with-peaches?ctx=0daadffc854885a36f182d01c611485583b27350&idx=786,https://searchcollection.asianart.org/internal/media/dispatcher/62021/preview,,The Avery Brundage Collection,B60P124+,2026-06-03,1,,
5531,,Jar with design of lions playing with a ball,1506-1521,26,Ceramics,Porcelain with underglaze blue and overglaze multicolor decoration,Porcelain with underglaze blue and overglaze multicolor decoration,"H. 11 3/8 in x Diam. 11 7/8 in, H. 28.9 cm x Diam. 30.2 cm",2,,https://searchcollection.asianart.org/objects/4926/jar-with-design-of-lions-playing-with-a-ball?ctx=0daadffc854885a36f182d01c611485583b27350&idx=787,https://searchcollection.asianart.org/internal/media/dispatcher/16939/preview,,The Avery Brundage Collection,B60P507,2026-06-03,1,,
5532,,Octagonal plate with the Eight Treasures and a longevity character,1522 - 1566,26,Decorative Arts,Carved red lacquer,Carved red lacquer,Overall: H. 1 5/16 in × W. 6 3/8 in × D. 6 3/8 in (3.3 cm × 16.2 cm × 16.2 cm),2,,https://searchcollection.asianart.org/objects/4975/octagonal-plate-with-the-eight-treasures-and-a-longevity-cha?ctx=0daadffc854885a36f182d01c611485583b27350&idx=791,https://searchcollection.asianart.org/internal/media/dispatcher/75423/preview,,Museum purchase,B83M10,2026-06-03,1,,
5533,,Vase suspended from three chains,1900-1949,28,Jade And Stones,Nephrite,Nephrite,"H. 14 1/2 in x W. 4 in x D.3/4 in, H. 36.8 cm x W. 10.2 cm x D. 1.9 cm",2,,https://searchcollection.asianart.org/objects/5097/vase-suspended-from-three-chains?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=793,https://searchcollection.asianart.org/internal/media/dispatcher/20732/preview,,The Avery Brundage Collection,B62J67,2026-06-03,1,,
5534,,"Covered jar, one of a pair",1920-1940,28,Ceramics,Porcelain with overglaze polychrome decoration,Porcelain with overglaze polychrome decoration,"H. 28 3/8 in x Diam. 16 in, H. 73.3 cm x Diam. 40.6 cm",2,,https://searchcollection.asianart.org/objects/5638/covered-jar-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=814,https://searchcollection.asianart.org/internal/media/dispatcher/16430/preview,,The Avery Brundage Collection,B60P115+.a-.b,2026-06-03,1,,
5535,,Covered bowl with design of dragons,1723-1735,27,Ceramics,Porcelain with underglaze blue and overglaze multicolor,Porcelain with underglaze blue and overglaze multicolor,"H. 5 1/2 in x Diam. 8 in, H. 14 cm x Diam. 20.3 cm",2,,https://searchcollection.asianart.org/objects/5812/covered-bowl-with-design-of-dragons?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=819,https://searchcollection.asianart.org/internal/media/dispatcher/18716/preview,,The Avery Brundage Collection,B60P2109.a-.b,2026-06-03,1,,
5536,,Bowl with design of eight cranes flying through clouds,1723-1735,27,Ceramics,Porcelain with overglaze multicolor decoration,Porcelain with overglaze multicolor decoration,"H. 2 1/2 in x Diam. 5 7/8 in, H. 6/3 cm x Diam. 15 cm",2,,https://searchcollection.asianart.org/objects/5909/bowl-with-design-of-eight-cranes-flying-through-clouds?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=824,https://searchcollection.asianart.org/internal/media/dispatcher/21284/preview,,The Avery Brundage Collection,B62P153.a,2026-06-03,1,,
