id,object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
228520,1,,Chinese Lady with Pekinese,19th century,27,Furniture/Furnishings,"Reverse painting on mirror, lacquered wood frame",,22 13/16 x 16 9/16 inches (58 x 42 cm),3,,https://www.philamuseum.org/collection/object/228520,"https://iiif.micr.io/EKWht/full/^300,/0/default.jpg",,"Gift of Hope Starr Lloyd and Floyd T. Starr, 1952",228520,2026-06-08,,2026-06-08,2026-06-08
58448,2,,Sofa,c. 1825-1830,27,Furniture/Furnishings,"Chinese elm, rattan","The great-grandfather of the donor of this sofa reputedly had it made in China and brought it to Philadelphia in his own ship. The Chinese craftsmen based its design on a contemporary English model of an upholstered sofa, likely working from an illustration in one of the numerous design or manufacturing books that were circulated in the period.",37 inches × 6 feet 8 1/2 inches × 24 3/4 inches (94 × 204.5 × 62.9 cm),3,,https://www.philamuseum.org/collection/object/58448,"https://iiif.micr.io/szFiX/full/^300,/0/default.jpg",,"Bequest of Eugenie M. Fryer, 1961",58448,2026-06-08,,2026-06-08,2026-06-08
200916,3,,Chinese Lady Standing under Bamboo Tree,Late 19th - early 20th century,27,Prints,Color woodcut,,Image: 17 11/16 × 11 inches (45 × 28 cm),3,,https://www.philamuseum.org/collection/object/200916,"https://iiif.micr.io/kjTkv/full/^300,/0/default.jpg",,"Purchased with the John T. Morris Fund, 1939",200916,2026-06-08,,2026-06-08,2026-06-08
161042,4,,Charger,c. 1730,27,Containers,Hard-paste porcelain,,2 × 10 inches (5.1 × 25.4 cm),3,,https://www.philamuseum.org/collection/object/161042,"https://iiif.micr.io/NENEj/full/^300,/0/default.jpg",,"Purchased with funds contributed by the Herman N. and Eleanor G. Ellis Foundation, 1993",161042,2026-06-08,,2026-06-08,2026-06-08
173379,5,,Chinese Lady Holding a Fan and Opium Pipe,Late 19th century,27,Paintings,"Watercolor on paper, mounted on Bristol paper",,11 7/16 × 7 1/2 inches (29 × 19 cm),3,,https://www.philamuseum.org/collection/object/173379,"https://iiif.micr.io/MUmvN/full/^300,/0/default.jpg",,"Gift of Mrs. Hampton L. Carson, 1929",173379,2026-06-08,,2026-06-08,2026-06-08
161471,6,,Stand,c. 1810,27,Containers,Hard-paste porcelain,"The decoration on this stand, known as the ""Quaker Farmer"" pattern, is according to Morris family history based on a drawing made by Mary Hollingsworth Morris (1776-1820).  Mary was married to Israel Morris, the tenth child of ""Captain"" Samuel Morris, a prominent Philadelphian active in the China Trade.  The claim is supported by a notation on the reverse of the drawing that reads, ""The China in Table & Tea Sets was recd Executed calld the Cow China.  Pattern for Set of China copied by Mary H. Morris Jan. 7. 1797.""",1 1/4 x 9 7/8 x 11 inches (3.2 x 25.1 x 27.9 cm),3,,https://www.philamuseum.org/collection/object/161471,"https://iiif.micr.io/lgUUJ/full/^300,/0/default.jpg",,"Gift of Dr. John B. Carson, 1976",161471,2026-06-08,,2026-06-08,2026-06-08
134817,7,,Cup,c. 1785,27,Containers,Hard-paste porcelain with enamel decoration,,2 3/4 × 3 3/8 × 2 3/8 inches (7 × 8.6 × 6 cm),3,,https://www.philamuseum.org/collection/object/134817,"https://iiif.micr.io/Ziobe/full/^300,/0/default.jpg",,"Bequest of Miss Cornelia Thompson, 1904",134817,2026-06-08,,2026-06-08,2026-06-08
135047,8,,Plate,c. 1785,27,Containers,Porcelain with underglaze and enamel decoration,,1 × 8 15/16 inches (2.5 × 22.7 cm),3,,https://www.philamuseum.org/collection/object/135047,"https://iiif.micr.io/nRjgA/full/^300,/0/default.jpg",,"Gift of Mrs. Charles Platt, 1909",135047,2026-06-08,,2026-06-08,2026-06-08
46119,9,,Tea Table with Figures in a Chinese Formal Garden,c. 1839,27,Furniture/Furnishings,Wood with lacquer and gilded decoration,"Highly refined lacquer furniture—generally in the form of chests or cabinets made in China and Japan for their domestic markets—was available, in limited quantities, in Europe from as early as the mid-seventeenth century. These costly and cherished objects were found in many of Europe’s most prestigious households, where they were often raised on stands with elaborate gilded or japanned (the European version of lacquer) decoration. 

By the early nineteenth century, the fashion for Asian lacquerware had reached the middle classes in Europe and the United States. In response, Asian craftsmen began to manufacture Western-style lacquer furniture such as this example. This table was made for Philadelphian John A. Lewis while he was in China. Lewis’s father was in the China trade and when he died, John and his brother took over the business, which was located at the southeast corner of Walnut and Front Streets in Philadelphia.",31 11/16 x 35 5/8 inches (80.5 x 90.5 cm),3,,https://www.philamuseum.org/collection/object/46119,"https://iiif.micr.io/KXNFh/full/^300,/0/default.jpg",,"Gift of Mrs. Joseph H. Burroughs, 1940",46119,2026-06-08,,2026-06-08,2026-06-08
123624,10,,Cup,c. 1735-1745,27,Containers,Hard-paste porcelain with enamel decoration,,3 × 3 1/4 inches (7.6 × 8.3 cm),3,,https://www.philamuseum.org/collection/object/123624,"https://iiif.micr.io/nYYUx/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",123624,2026-06-08,,2026-06-08,2026-06-08
