artifact_id,artist_id,relationship_type
2507,2,creator
2508,3,creator
2532,3,creator
2535,3,creator
2542,4,creator
2551,3,creator
2554,5,creator
2555,6,creator
2556,7,creator
2559,8,creator
2561,9,creator
2562,10,creator
2563,10,creator
2564,11,creator
2642,12,creator
2643,12,creator
2644,12,creator
2645,13,creator
2646,14,creator
2647,15,creator
2649,12,creator
2650,12,creator
2651,12,creator
2654,12,creator
2655,12,creator
2656,15,creator
2657,12,creator
2658,12,creator
2659,12,creator
2660,16,creator
2661,12,creator
2662,17,creator
2668,18,creator
2669,19,creator
2670,20,creator
2672,21,creator
2673,12,creator
2674,22,creator
2675,23,creator
2676,21,creator
2679,24,creator
2680,24,creator
2696,25,creator
2722,26,creator
2736,15,creator
2775,27,creator
2776,28,creator
2783,29,creator
2784,30,creator
2785,31,creator
2806,30,creator
2807,32,creator
2809,33,creator
2813,34,creator
2827,35,creator
2840,36,creator
2880,37,creator
2881,37,creator
2882,37,creator
2884,12,creator
2888,12,creator
2889,38,creator
2896,12,creator
2897,39,creator
2909,12,creator
2911,40,creator
2913,41,creator
2914,42,creator
2915,43,creator
2916,44,creator
2921,45,creator
2923,46,creator
2924,46,creator
2925,12,creator
2926,47,creator
2927,48,creator
2928,12,creator
2929,12,creator
2930,12,creator
2932,12,creator
2933,12,creator
2941,49,creator
2942,12,creator
2943,12,creator
2971,12,creator
2977,50,creator
2979,12,creator
2982,15,creator
2984,12,creator
2985,12,creator
2987,51,creator
2990,52,creator
2991,12,creator
2992,52,creator
2993,53,creator
3000,54,creator
3035,55,creator
3037,56,creator
3038,57,creator
3048,12,creator
3049,12,creator
3050,58,creator
3051,59,creator
3073,60,creator
3074,60,creator
3075,60,creator
3173,61,creator
3174,62,creator
3190,63,creator
3226,64,creator
3227,65,creator
3398,66,creator
3460,67,creator
3462,68,creator
3463,69,creator
3464,70,creator
3468,71,creator
3481,72,creator
3504,73,creator
3505,74,creator
3506,75,creator
3509,76,creator
3510,51,creator
3519,77,creator
3521,78,creator
3523,79,creator
3524,80,creator
3525,81,creator
3526,82,creator
3529,83,creator
3530,27,creator
3531,84,creator
3532,85,creator
3533,86,creator
3534,87,creator
3535,88,creator
3537,89,creator
3538,90,creator
3543,91,creator
3545,12,creator
3547,92,creator
3552,12,creator
3555,93,creator
3556,94,creator
3557,12,creator
3558,12,creator
3559,12,creator
3560,95,creator
3561,12,creator
3563,96,creator
3564,97,creator
3565,97,creator
3566,98,creator
3568,99,creator
3570,100,creator
3571,101,creator
3572,102,creator
3573,103,creator
3574,102,creator
3647,104,creator
3735,105,creator
3828,12,creator
3829,12,creator
3830,106,creator
3831,12,creator
3832,12,creator
3834,12,creator
3835,12,creator
3836,107,creator
3837,108,creator
3838,109,creator
3839,110,creator
3840,110,creator
3841,111,creator
3842,86,creator
3843,112,creator
3844,112,creator
3845,112,creator
3846,35,creator
3847,113,creator
3848,12,creator
3849,114,creator
3850,115,creator
3851,116,creator
3852,116,creator
3853,117,creator
3854,118,creator
3855,119,creator
3856,97,creator
3859,18,creator
3862,120,creator
3863,121,creator
3864,121,creator
3865,122,creator
3866,123,creator
3867,12,creator
3874,124,creator
3875,125,creator
3876,126,creator
3877,12,creator
3894,127,creator
3895,128,creator
3896,129,creator
3897,130,creator
3938,131,creator
3988,12,creator
4007,132,creator
4013,12,creator
4014,12,creator
4019,12,creator
4020,15,creator
4021,12,creator
4022,12,creator
4023,12,creator
4024,12,creator
4025,12,creator
4026,12,creator
4027,133,creator
4028,12,creator
4030,12,creator
4031,12,creator
4032,12,creator
4033,134,creator
4034,12,creator
4035,135,creator
4036,136,creator
4037,12,creator
4038,12,creator
4039,12,creator
4040,12,creator
4041,12,creator
4042,12,creator
4043,12,creator
4044,12,creator
4045,12,creator
4046,137,creator
4047,12,creator
4048,12,creator
4049,138,creator
4050,12,creator
4051,139,creator
4052,140,creator
4053,141,creator
4054,12,creator
4055,142,creator
4056,143,creator
4057,12,creator
4058,12,creator
4059,12,creator
4060,144,creator
4061,12,creator
4062,12,creator
4063,12,creator
4065,12,creator
4066,12,creator
4067,12,creator
4068,12,creator
4069,12,creator
4070,12,creator
4071,12,creator
4072,12,creator
4081,12,creator
4115,145,creator
4120,146,creator
4121,146,creator
4122,96,creator
4125,147,creator
4126,148,creator
4127,149,creator
4128,149,creator
4129,150,creator
4135,151,creator
4136,109,creator
4137,152,creator
4138,153,creator
4139,12,creator
4140,12,creator
4141,12,creator
4142,12,creator
4143,12,creator
4144,12,creator
4145,12,creator
4146,12,creator
4147,12,creator
4148,12,creator
4149,12,creator
4150,12,creator
4151,12,creator
4152,12,creator
4153,12,creator
4154,12,creator
4155,12,creator
4158,12,creator
4159,12,creator
4160,12,creator
4188,154,creator
4190,64,creator
4192,155,creator
4193,156,creator
4194,156,creator
4195,156,creator
4197,157,creator
4198,102,creator
4199,156,creator
4210,158,creator
4211,158,creator
4212,159,creator
4213,97,creator
4214,12,creator
4215,12,creator
4216,160,creator
4217,156,creator
4218,160,creator
4219,161,creator
4220,162,creator
4221,161,creator
4222,163,creator
4223,164,creator
4224,165,creator
4225,165,creator
4226,165,creator
4227,166,creator
4228,167,creator
4229,167,creator
4232,148,creator
4238,102,creator
4246,168,creator
4247,169,creator
4248,170,creator
4249,171,creator
4250,167,creator
4251,168,creator
4252,172,creator
4253,102,creator
4254,102,creator
4255,88,creator
4263,173,creator
4264,173,creator
4265,158,creator
4266,174,creator
4267,175,creator
4268,176,creator
4270,177,creator
4272,51,creator
4275,178,creator
4276,80,creator
4290,179,creator
4298,180,creator
4300,181,creator
4308,182,creator
4309,183,creator
4311,88,creator
4409,184,creator
4410,12,creator
4411,185,creator
4551,186,creator
4637,187,creator
4638,188,creator
4639,188,creator
4640,188,creator
4641,188,creator
4646,189,creator
4648,190,creator
4649,12,creator
