object_id,title_zh,title_en,material,type,image_url,museum_id,dynasty_id,dynasty_name
1,罐子,Jar,瓷质瓷器，釉下涂棕色装饰，奶油色，透明釉下（磁州型瓷器）,容器,"https://iiif.micr.io/jqFiu/full/^300,/0/default.jpg",3,26,明朝
2,盖杯,Covered Cup,釉上瓷釉和镀金装饰的釉面瓷器,容器,"https://iiif.micr.io/AZvCd/full/^300,/0/default.jpg",3,27,清朝
3,盖杯,Covered Cup,釉上瓷釉和镀金装饰的釉面瓷器,容器,"https://iiif.micr.io/LioTp/full/^300,/0/default.jpg",3,27,清朝
4,罐子,Jar,青云釉（五彩）,容器,"https://iiif.micr.io/JHTvJ/full/^300,/0/default.jpg",3,26,明朝
5,花瓶,Vase,釉上瓷釉和镀金装饰的瓷器,容器,"https://iiif.micr.io/pbgSc/full/^300,/0/default.jpg",3,27,清朝
6,菜肴,Dish,釉上瓷釉装饰瓷器（景德镇瓷器）,容器,"https://iiif.micr.io/oEGdf/full/^300,/0/default.jpg",3,26,明朝
7,盘子,Plate,釉上瓷釉瓷器,容器,"https://iiif.micr.io/Ooecr/full/^300,/0/default.jpg",3,27,清朝
8,罐子和盖子,Jar and Cover,瓷器，多色搪瓷,容器,"https://iiif.micr.io/VKZxz/full/^300,/0/default.jpg",3,26,明朝
9,花瓶,Vase,釉上瓷釉装饰瓷器,容器,"https://iiif.micr.io/Jjfdv/full/^300,/0/default.jpg",3,27,清朝
10,茶壶,Teapot,釉上瓷釉装饰瓷器,容器,"https://iiif.micr.io/ZdkNl/full/^300,/0/default.jpg",3,27,清朝
11,碟子,Saucer,釉下釉上釉瓷器,容器,"https://iiif.micr.io/juvGN/full/^300,/0/default.jpg",3,27,清朝
12,碗（万）,Bowl (Wan),釉下和釉上瓷釉装饰瓷器,容器,"https://iiif.micr.io/ahCHd/full/^300,/0/default.jpg",3,27,清朝
13,杯子,Cup,釉上瓷釉装饰瓷器,容器,"https://iiif.micr.io/sbxaq/full/^300,/0/default.jpg",3,27,清朝
14,碟子,Saucer,釉上搪瓷装饰瓷器（粉彩玫瑰）,容器,"https://iiif.micr.io/LdviG/full/^300,/0/default.jpg",3,27,清朝
15,碟子,Saucer,釉上搪瓷装饰瓷器（粉彩玫瑰）,容器,"https://iiif.micr.io/BnAqN/full/^300,/0/default.jpg",3,27,清朝
16,古代青铜制花瓶,Vase in the form of an Archaic Bronze Vessel,绿松石蓝釉瓷器；单色,容器,"https://iiif.micr.io/uJnKo/full/^300,/0/default.jpg",3,27,清朝
17,墙花瓶（平）,Wall Vase (P'ing),釉上搪瓷和镀金设计的瓷器,容器,"https://iiif.micr.io/nHixb/full/^300,/0/default.jpg",3,27,清朝
18,花瓶,Vase,白釉瓷器（德化瓷）,容器,"https://iiif.micr.io/tcCSr/full/^300,/0/default.jpg",3,27,清朝
