id,name,name_cn,birth_year,death_year,nationality,label
1,Zhou Peichun,张培春,,,,artist
2,paul revere jr.,小保罗敬畏。,,,,artist
3,andrew ellicott warner,安德鲁·埃利科特·沃纳,,,,artist
4,thomas webb & sons,托马斯·韦伯父子公司,,,,artist
5,john la farge,约翰·拉法基,,,,artist
6,william merritt chase,蔡斯,,,,artist
7,gilbert stuart,吉尔伯特·斯图尔特,,,,artist
8,american china manufactory,美中制造厂,,,,artist
9,george lethbridge saunders,乔治·莱斯布里奇桑德斯,,,,artist
10,julius dessoir,朱利叶斯·德索伊尔,,,,artist
11,anne chase,安妮·蔡斯,,,,artist
12,unidentified artist,身份不明的艺术家,,,,artist
13,lu kezheng,鲁 克生,,,,artist
14,qi zhijia,齐志佳,,,,artist
15,unidentified,未识别的,,,,artist
16,zhu ling,朱玲,,,,artist
17,liu shiru,刘 谢鲁,,,,artist
18,gong xian,龚贤,,,,artist
19,li yin,李茵,,,,artist
20,wen jia,文佳,,,,artist
21,ren yi (ren bonian),任一,,,,artist
22,pan simu,手机,,,,artist
23,wang su,王苏,,,,artist
24,kuwagata keisai,Kuwagata keisai,,,,artist
25,sakya school,坂屋学校,,,,artist
26,choying dorje (the tenth karmapa),蔡英多杰（第十噶玛巴）,,,,artist
27,kano yukinobu 狩野之信,kano yukinobu 狩野之信,,,,artist
28,chen yanqing,陈艳青,,,,artist
29,zhang jizhi,张继志,,,,artist
30,wen zhengming,文征明,,,,artist
31,chen hongshou,陈鸿寿,,,,artist
32,nagasawa rosetsu,长泽玫瑰,,,,artist
33,kano chōkichi,关东吉,,,,artist
34,yang mao,杨茂,,,,artist
35,lan ying,兰英,,,,artist
36,jin nong,金农,,,,artist
37,hu wenming,胡文明,,,,artist
38,zhao lingrang,赵令让,,,,artist
39,zhao kexiong,赵可雄,,,,artist
40,shiokawa bunrin,石川邦林,,,,artist
41,shōun genkei,玄机,,,,artist
42,gu erniang,顾尔娘,,,,artist
43,wang shimin,王时敏,,,,artist
44,hongren,弘忍,,,,artist
45,emperor gaozong,高宗,,,,artist
46,muqi,木器,,,,artist
47,wang mian,王冕,,,,artist
48,xia gui,夏圭,,,,artist
49,emperor lizong,李宗皇帝,,,,artist
50,qian xuan,钱选,,,,artist
51,ogawa haritsu (ritsuō),小川大津（立）,,,,artist
52,zhao mengfu,赵孟俯,,,,artist
53,wang zhenpeng,钱 zhenpeng,,,,artist
54,wan shanglin,万尚林,,,,artist
55,ni zan,我,,,,artist
56,ni jing,倪静,,,,artist
57,tang di,唐迪,,,,artist
58,various artists,多位艺术家,,,,artist
59,dong qichang,董其昌,,,,artist
60,jian guzhai,简谷斋,,,,artist
