object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
2501,盆地,basin,1825–45,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/333,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-026.jpg,,,,2026-06-01,1,,
2502,本杰明·富兰克林肖像,portrait of benjamin franklin,1790–1883,27,Decorative Arts,画布,画布,,1,,https://www.metmuseum.org/art/collection/search/486,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,,,,2026-06-01,1,,
2503,瓶子,bottle,1825–45,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/602,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-019.jpg,,,,2026-06-01,1,,
2504,碗,bowl,1800–1900,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/664,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,,,,2026-06-01,1,,
2505,面包盘,bread plate,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/973,https://images.metmuseum.org/CRDImages/ad/original/DP258638.jpg,,,,2026-06-01,1,,
2506,球根盆,bulb pot,1700–1900,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/1035,https://images.metmuseum.org/CRDImages/ad/original/DP262498.jpg,,,,2026-06-01,1,,
2507,罐头,cann,1783,27,Metalwork,银,银,,1,,https://www.metmuseum.org/art/collection/search/1398,https://images.metmuseum.org/CRDImages/ad/original/DP105882.jpg,,,,2026-06-01,1,,
2508,咖啡壶,coffee urn,1845,27,Metalwork,银,银,,1,,https://www.metmuseum.org/art/collection/search/2126,https://images.metmuseum.org/CRDImages/ad/original/ADA5792.jpg,,,,2026-06-01,1,,
2509,盖有两个把手的碗,covered two-handled bowl,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2328,https://images.metmuseum.org/CRDImages/ad/original/DP258503.jpg,,,,2026-06-01,1,,
2510,有两个把手的碗和托盘,covered two-handled bowl and tray,1785–90,27,Ceramics,硬质瓷,硬质瓷,,1,,https://www.metmuseum.org/art/collection/search/2329,https://images.metmuseum.org/CRDImages/ad/original/DP258503.jpg,,,,2026-06-01,1,,
2511,奶精,creamer,1785–1805,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2353,https://images.metmuseum.org/CRDImages/ad/original/DP264261.jpg,,,,2026-06-01,1,,
2512,有盖花瓶,covered vase,1785–1815,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2392,https://images.metmuseum.org/CRDImages/ad/original/138215.jpg,,,,2026-06-01,1,,
2513,有盖热水盘,covered hot water platter,1800–1900,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2394,https://images.metmuseum.org/CRDImages/ad/original/155839.jpg,,,,2026-06-01,1,,
2514,有盖投手,covered pitcher,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2432,https://images.metmuseum.org/CRDImages/ad/original/DP258508.jpg,,,,2026-06-01,1,,
2515,有盖盘子,covered platter,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2434,https://images.metmuseum.org/CRDImages/ad/original/DP258507.jpg,,,,2026-06-01,1,,
2516,有盖的潘趣碗,covered punch bowl,1745–55,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2441,https://images.metmuseum.org/CRDImages/ad/original/DT5525.jpg,,,,2026-06-01,1,,
2517,酱汁盖碗,covered sauce tureen,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2451,https://images.metmuseum.org/CRDImages/ad/original/DP258506.jpg,,,,2026-06-01,1,,
2518,有盖飞碟,covered sauceboat,1790–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2454,https://images.metmuseum.org/CRDImages/ad/original/171552.jpg,,,,2026-06-01,1,,
2519,汤盅,soup tureen,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2475,https://images.metmuseum.org/CRDImages/ad/original/DP258880.jpg,,,,2026-06-01,1,,
2520,盖糖碗,covered sugar bowl,1770–1830,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2487,https://images.metmuseum.org/CRDImages/ad/original/DP264251.jpg,,,,2026-06-01,1,,
2521,糖罐,sugar bowl,1800–1815,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2526,https://images.metmuseum.org/CRDImages/ad/original/129675.jpg,,,,2026-06-01,1,,
2522,盖着盖子的陶罐,covered toddy jug,1792–96,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2542,https://images.metmuseum.org/CRDImages/ad/original/DP264262.jpg,,,,2026-06-01,1,,
2523,汤碗,tureen,1790–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2548,https://images.metmuseum.org/CRDImages/ad/original/171550.jpg,,,,2026-06-01,1,,
2524,花瓶,vase,1770–95,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2556,https://images.metmuseum.org/CRDImages/ad/original/DP262502.jpg,,,,2026-06-01,1,,
2525,杯碟,cup and saucer,1853–57,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/2777,https://images.metmuseum.org/CRDImages/ad/original/142737.jpg,,,,2026-06-01,1,,
2526,蛋奶冻杯,custard cup,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/3033,https://images.metmuseum.org/CRDImages/ad/original/DP258888.jpg,,,,2026-06-01,1,,
2527,穿衣镜,dressing glass,1790–1800,27,Lacquer,漆木,漆木,,1,,https://www.metmuseum.org/art/collection/search/3415,https://images.metmuseum.org/CRDImages/ad/original/122936.jpg,,,,2026-06-01,1,,
2528,水壶,ewer,1800–1810,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/3558,https://images.metmuseum.org/CRDImages/ad/original/DP276511.jpg,,,,2026-06-01,1,,
2529,盘子和架子,platter and rack,1800–1830,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/3686,https://images.metmuseum.org/CRDImages/ad/original/ADA2990.jpg,,,,2026-06-01,1,,
2530,花盆,flower pot,1770–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/3761,https://images.metmuseum.org/CRDImages/ad/original/148993.jpg,,,,2026-06-01,1,,
2531,高抽屉柜,high chest of drawers,1710–25,27,Decorative Arts,白松、白杨、椴木,白松、白杨、椴木,,1,,https://www.metmuseum.org/art/collection/search/4281,https://images.metmuseum.org/CRDImages/ad/original/DT207870.jpg,,,,2026-06-01,1,,
2532,奶锅,milk pot,1845,27,Metalwork,银,银,,1,,https://www.metmuseum.org/art/collection/search/4396,https://images.metmuseum.org/CRDImages/ad/original/ADA5816.jpg,,,,2026-06-01,1,,
2533,暖水板,hot water plate,1800–1830,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/4401,https://images.metmuseum.org/CRDImages/ad/original/155830.jpg,,,,2026-06-01,1,,
2534,花架,jardiniere,1700–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/4516,https://images.metmuseum.org/CRDImages/ad/original/159358.jpg,,,,2026-06-01,1,,
2535,废碗边缘,rim for waste bowl,1845,27,Metalwork,银,银,,1,,https://www.metmuseum.org/art/collection/search/4767,https://images.metmuseum.org/CRDImages/ad/original/242104.jpg,,,,2026-06-01,1,,
2536,镜子,looking glass,1700–1800,27,Decorative Arts,松树,松树,,1,,https://www.metmuseum.org/art/collection/search/4829,https://images.metmuseum.org/CRDImages/ad/original/10.125.349.JPG,,,,2026-06-01,1,,
2537,肉拼盘,meat platter,1800–1830,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/5002,https://images.metmuseum.org/CRDImages/ad/original/157727.jpg,,,,2026-06-01,1,,
2538,蒙特斯,monteith,1700–1720,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/5225,https://images.metmuseum.org/CRDImages/ad/original/ADA4984.jpg,,,,2026-06-01,1,,
2539,大浅盘,platter,1790–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/6552,https://images.metmuseum.org/CRDImages/ad/original/171551.jpg,,,,2026-06-01,1,,
2540,带排水器的盘子,platter with drainer,1785–90,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/6597,https://images.metmuseum.org/CRDImages/ad/original/DP259244.jpg,,,,2026-06-01,1,,
2541,大酒杯,punch bowl,1785–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/6797,https://images.metmuseum.org/CRDImages/ad/original/177004.jpg,,,,2026-06-01,1,,
2542,香水瓶,scent bottle,1870–1900,27,Metalwork,银白色和黄色不透明玻璃,银白色和黄色不透明玻璃,,1,,https://www.metmuseum.org/art/collection/search/7340,https://images.metmuseum.org/CRDImages/ad/original/178952.jpg,,,,2026-06-01,1,,
2543,长靠椅,settee,1800–1830,27,Decorative Arts,松木、红胶、郁金香、桃花心木、竹子、柚木,松木、红胶、郁金香、桃花心木、竹子、柚木,,1,,https://www.metmuseum.org/art/collection/search/7393,https://images.metmuseum.org/CRDImages/ad/original/161023.jpg,,,,2026-06-01,1,,
2544,肥皂盘,soap dish,1800–1900,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/7573,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,,,,2026-06-01,1,,
2545,纸牌游戏,solitaire game,1770–1800,27,Decorative Arts,象牙,象牙,,1,,https://www.metmuseum.org/art/collection/search/7608,https://images.metmuseum.org/CRDImages/ad/original/173639.jpg,,,,2026-06-01,1,,
2546,茶叶罐,tea caddy,1775–1800,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/8256,https://images.metmuseum.org/CRDImages/ad/original/ADA4080.jpg,,,,2026-06-01,1,,
2547,茶壶,teapot,1720–35,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/8352,https://images.metmuseum.org/CRDImages/ad/original/DP264523.jpg,,,,2026-06-01,1,,
2548,toddy水壶,toddy jug,1800–1820,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/8681,https://images.metmuseum.org/CRDImages/ad/original/DT2096.jpg,,,,2026-06-01,1,,
2549,托盘,tray,19th century,27,Lacquer,漆，漆木,漆，漆木,,1,,https://www.metmuseum.org/art/collection/search/8774,https://images.metmuseum.org/CRDImages/ad/original/123471.jpg,,,,2026-06-01,1,,
2550,壁纸面板,wallpaper panel,1700–1730,27,Textiles,手工绘制并镶嵌在亚麻布上的纸张,手工绘制并镶嵌在亚麻布上的纸张,,1,,https://www.metmuseum.org/art/collection/search/9657,https://images.metmuseum.org/CRDImages/ad/original/25606.jpg,,,,2026-06-01,1,,
2551,垃圾桶,waste bowl,1845,27,Metalwork,银,银,,1,,https://www.metmuseum.org/art/collection/search/9738,https://images.metmuseum.org/CRDImages/ad/original/ADA5819.jpg,,,,2026-06-01,1,,
2552,便盆,slop bowl,1800–1815,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/9739,https://images.metmuseum.org/CRDImages/ad/original/129674.jpg,,,,2026-06-01,1,,
2553,表架,watch stand,1800–1820,27,Decorative Arts,象牙,象牙,,1,,https://www.metmuseum.org/art/collection/search/9748,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-037.jpg,,,,2026-06-01,1,,
2554,欢迎光临：纽约乔治·t·布利斯夫人故居的彩色玻璃窗,"welcome: stained glass window from the mrs. george t. bliss house, new york",1908–9,27,Metalwork,含铅乳白色玻璃、景泰蓝玻璃、铜线、油漆,含铅乳白色玻璃、景泰蓝玻璃、铜线、油漆,,1,,https://www.metmuseum.org/art/collection/search/9789,https://images.metmuseum.org/CRDImages/ad/original/DT12121.jpg,,,,2026-06-01,1,,
2555,粉红色杜鹃花——中国花瓶,pink azalea—chinese vase,1880–90 (?),27,Decorative Arts,木头上的油,木头上的油,,1,,https://www.metmuseum.org/art/collection/search/10473,https://images.metmuseum.org/CRDImages/ad/original/DT9509.jpg,,,,2026-06-01,1,,
2556,威廉·凯伦·康斯特布尔,william kerin constable,1796,27,Paintings,布面油画,布面油画,,1,,https://www.metmuseum.org/art/collection/search/12683,https://images.metmuseum.org/CRDImages/ad/original/ap43.86.2.jpg,,,,2026-06-01,1,,
2557,佩里的胜利,perry's victory,1813–30,27,Paintings,玻璃上的油,玻璃上的油,,1,,https://www.metmuseum.org/art/collection/search/12966,https://images.metmuseum.org/CRDImages/ad/original/63487.jpg,,,,2026-06-01,1,,
2558,美国和马其顿,united states and macedonian,1812–30,27,Paintings,玻璃上的油,玻璃上的油,,1,,https://www.metmuseum.org/art/collection/search/13014,https://images.metmuseum.org/CRDImages/ad/original/63488.jpg,,,,2026-06-01,1,,
2559,泡菜摊,pickle stand,1770–72,27,Ceramics,软质瓷,软质瓷,,1,,https://www.metmuseum.org/art/collection/search/13370,https://images.metmuseum.org/CRDImages/ad/original/DT5514.jpg,,,,2026-06-01,1,,
2560,块,piece,1800–1830,27,Textiles,机织丝绸,机织丝绸,,1,,https://www.metmuseum.org/art/collection/search/13817,https://images.metmuseum.org/CRDImages/ad/original/SC58105.jpg,,,,2026-06-01,1,,
2561,以色列桑代克夫人（莎拉·达纳）,mrs. israel thorndike (sarah dana),1843,27,Decorative Arts,象牙水彩,象牙水彩,,1,,https://www.metmuseum.org/art/collection/search/15183,https://images.metmuseum.org/CRDImages/ad/original/DP168985.jpg,,,,2026-06-01,1,,
2562,沙发,sofa,1853,27,Decorative Arts,红木，替换展示封面,红木，替换展示封面,,1,,https://www.metmuseum.org/art/collection/search/15296,https://images.metmuseum.org/CRDImages/ad/original/49N_242AR5.jpg,,,,2026-06-01,1,,
2563,扶手椅,armchair,1853,27,Decorative Arts,红木，替换展示封面,红木，替换展示封面,,1,,https://www.metmuseum.org/art/collection/search/15297,https://images.metmuseum.org/CRDImages/ad/original/49N_242CR3.jpg,,,,2026-06-01,1,,
2564,刺绣取样器,embroidered sampler,1721,27,Textiles,羊毛上的丝绸刺绣,羊毛上的丝绸刺绣,,1,,https://www.metmuseum.org/art/collection/search/16961,https://images.metmuseum.org/CRDImages/ad/original/annechasepg.jpg,,,,2026-06-01,1,,
2565,洗脸盆,wash basin,1700–1799,27,Ceramics,瓷器,瓷器,,1,,https://www.metmuseum.org/art/collection/search/17105,https://images.metmuseum.org/CRDImages/ad/original/DP-42874-002.jpg,,,,2026-06-01,1,,
2566,头盔（卡巴托）,helmet (kabuto),17th century,27,Lacquer,铁、皮革、漆,铁、皮革、漆,,1,,https://www.metmuseum.org/art/collection/search/22061,https://images.metmuseum.org/CRDImages/aa/original/1265.jpg,,,,2026-06-01,1,,
2567,一对护肩（sodē）,pair of shoulder guards (sodē),18th century,27,Metalwork,铁,铁,,1,,https://www.metmuseum.org/art/collection/search/22062,https://images.metmuseum.org/CRDImages/aa/original/1266.jpg,,,,2026-06-01,1,,
2568,头盔（八幡）,helmet (hachi),17th century,27,Lacquer,铁、漆,铁、漆,,1,,https://www.metmuseum.org/art/collection/search/22063,https://images.metmuseum.org/CRDImages/aa/original/1267.jpg,,,,2026-06-01,1,,
2569,战争帽,war hat (jingasa),17th–18th century,27,Lacquer,铁、漆,铁、漆,,1,,https://www.metmuseum.org/art/collection/search/22064,https://images.metmuseum.org/CRDImages/aa/original/1268.jpg,,,,2026-06-01,1,,
2570,手套和配件,gauntlets and accessories,18th century,27,Metalwork,铁链邮件,铁链邮件,,1,,https://www.metmuseum.org/art/collection/search/22065,https://images.metmuseum.org/CRDImages/aa/original/1270.jpg,,,,2026-06-01,1,,
2571,头盔碗,helmet bowl,17th–18th century,27,Lacquer,铁、漆、镀金、油漆,铁、漆、镀金、油漆,,1,,https://www.metmuseum.org/art/collection/search/24058,https://images.metmuseum.org/CRDImages/aa/original/DT11936.jpg,,,,2026-06-01,1,,
2572,左前臂防守,defense for the left forearm,14th–16th century,26,Metalwork,铁,铁,,1,,https://www.metmuseum.org/art/collection/search/24980,https://images.metmuseum.org/CRDImages/aa/original/DP124346.jpg,,,,2026-06-01,1,,
2573,以昆虫和秋草为主题的剑卫（<i>tsuba</i>）,sword guard (<i>tsuba</i>) with the motif of insects and autumnal vegetation (秋草に虫図鐔),18th century,27,Metalwork,金、铜金合金（shakudo）、银、铜、铜银合金（shibuichi）,金、铜金合金（shakudo）、银、铜、铜银合金（shibuichi）,,1,,https://www.metmuseum.org/art/collection/search/24987,https://images.metmuseum.org/CRDImages/aa/original/81.1.415_002jan2014.jpg,,,,2026-06-01,1,,
2574,八板头盔,eight-plate helmet,8th–10th century,18,Metalwork,铁、铜合金、皮革,铁、铜合金、皮革,,1,,https://www.metmuseum.org/art/collection/search/25099,https://images.metmuseum.org/CRDImages/aa/original/DP113399.jpg,,,,2026-06-01,1,,
2575,一对马镫（陈耀邦）,pair of stirrups (yob chen),16th–18th century,27,Metalwork,铁、金、银,铁、金、银,,1,,https://www.metmuseum.org/art/collection/search/25100,https://images.metmuseum.org/CRDImages/aa/original/DP113390.jpg,,,,2026-06-01,1,,
2576,剑鞘剑,sword with scabbard,17th century,27,Metalwork,钢、黄铜、搪瓷、木材,钢、黄铜、搪瓷、木材,,1,,https://www.metmuseum.org/art/collection/search/25108,https://images.metmuseum.org/CRDImages/aa/original/DP119010.jpg,,,,2026-06-01,1,,
2577,一对马镫（yob-cha）,pair of stirrups (yob cha),15th–18th century,26,Metalwork,铁、金、银,铁、金、银,,1,,https://www.metmuseum.org/art/collection/search/25116,https://images.metmuseum.org/CRDImages/aa/original/DP113392.jpg,,,,2026-06-01,1,,
