object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5527,,"Bowl with katydid and begonias, one of a pair",1920-1940,28,Ceramics,Porcelain with overglaze polychrome decoration,Porcelain with overglaze polychrome decoration,"H. 2 7/8 in x Diam. 6 in, H. 7.3 cm x Diam. 15.3 cm",2,China,https://searchcollection.asianart.org/objects/3770/bowl-with-katydid-and-begonias-one-of-a-pair?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=769,https://searchcollection.asianart.org/internal/media/dispatcher/28702/preview,,"Museum purchase, Arthur W. Barney Estate Fund",B82P2.1,2026-06-08,1,,
5528,,"Bowl with katydid and begonias, one of a pair",1920-1940,28,Ceramics,Porcelain with overglaze polychrome decoration,Porcelain with overglaze polychrome decoration,"H. 3 in x Diam. 5 7/8 in, H. 7.6 cm x Diam. 14.9 cm",2,"Beijing, China; Beijing",https://searchcollection.asianart.org/objects/3771/bowl-with-katydid-and-begonias-one-of-a-pair?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=770,https://searchcollection.asianart.org/internal/media/dispatcher/28705/preview,,"Museum purchase, Arthur W. Barney Estate Fund",B82P2.2,2026-06-08,1,,
5529,,Chair for the imperial court,1644-1911,27,Decorative Arts,Lacquer on wood,Qing dynasty (1644-1911); Lacquer on wood,H. 44 in x W. 26 in x D. 20 in,2,China,https://searchcollection.asianart.org/objects/3807/chair-for-the-imperial-court?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=771,https://searchcollection.asianart.org/internal/media/dispatcher/73502/preview,,The Avery Brundage Collection,B60M28+,2026-06-08,1,,
5530,,Horse,1800-1900,27,Sculpture,Rock crystal,Qing dynasty (1644-1911); Rock crystal,"H. 2 1/8 in x W. 4 in x D. 1 3/8 in, H. 5.4 cm x W. 10.2 cm x D. 3.5 cm",2,China,https://searchcollection.asianart.org/objects/4084/horse?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=772,https://searchcollection.asianart.org/internal/media/dispatcher/60105/preview,,The Avery Brundage Collection,B62J14,2026-06-08,1,,
5531,,Bamboo-shaped ink-stick rest,1800-1900,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 4 1/2 in x W. 2 3/4 in x D. 1/2 in, H. 11.4 cm x W. 7.0 cm x D. 1.3 cm",2,China,https://searchcollection.asianart.org/objects/4093/bambooshaped-inkstick-rest?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=773,https://searchcollection.asianart.org/internal/media/dispatcher/22390/preview,,The Avery Brundage Collection,B65J27,2026-06-08,1,,
5532,,Plate with swallows and apricot blossoms,1662-1722,27,Ceramics,Porcelain with overglaze multicolor decoration,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722); Porcelain with overglaze multicolor decoration","H. 2 3/8 in x Diam. 14 3/8 in, H. 6.0 cm x Diam. 36.5 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/4126/plate-with-swallows-and-apricot-blossoms?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=775,https://searchcollection.asianart.org/internal/media/dispatcher/17556/preview,,The Avery Brundage Collection,B60P1534,2026-06-08,1,,
5533,,Lion,1900,27,Jade And Stones,Rock crystal,Qing dynasty (1644-1911) or Republic period (1912-1949); Rock crystal,"H. 1 5/8 in x W. 2 3/4 in x D. 1 1/4 in, H. 4.1 cm x W. 7 cm x D. 3.2 cm",2,China,https://searchcollection.asianart.org/objects/4170/lion?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=777,https://searchcollection.asianart.org/internal/media/dispatcher/20705/preview,,The Avery Brundage Collection,B62J54,2026-06-08,1,,
5534,,"Plate with design of dragons, citrons, and pomegranates",1662-1722,27,Ceramics,Porcelain with incised design under multicolor glazes,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722); Porcelain with incised design under multicolor glazes","H. 1 7/8 in x Diam. 9 3/4 in, H. 4.8 cm x Diam. 24.8 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/4250/plate-with-design-of-dragons-citrons-and-pomegranates?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=778,https://searchcollection.asianart.org/internal/media/dispatcher/17827/preview,,The Avery Brundage Collection,B60P1754,2026-06-08,1,,
5535,,"Liu Hai, God of Wealth, baiting his toad",1600-1700,26,Sculpture,Ivory,Ming dynasty (1368-1644); Ivory,"H. 10 3/4 in x W. 5 3/4 in x D. 3 7/8 in, H. 27.3 cm x W. 14.6 cm x D. 8.6 cm",2,China,https://searchcollection.asianart.org/objects/4317/liu-hai-god-of-wealth-baiting-his-toad?ctx=0daadffc854885a36f182d01c611485583b27350&idx=780,https://searchcollection.asianart.org/internal/media/dispatcher/19209/preview,,The Avery Brundage Collection,B60S72,2026-06-08,1,,
5536,,The immortal Han Zhongli holding a fan,1900-1940,28,Jade And Stones,Steatite (soapstone),Steatite (soapstone),"H. 8 3/8 in x W. 3 in x D. 2 in, H. 21.3 cm x 7.6 cm x D. 5.1 cm",2,China,https://searchcollection.asianart.org/objects/4407/the-immortal-han-zhongli-holding-a-fan?ctx=0daadffc854885a36f182d01c611485583b27350&idx=781,https://searchcollection.asianart.org/internal/media/dispatcher/20641/preview,,The Avery Brundage Collection,B62J26,2026-06-08,1,,
5537,,Vase with peaches,1736-1795,27,Ceramics,Porcelain with overglaze multicolor decoration,"Qing dynasty (1644-1911), reign of the Qianlong emperor (1736-1795); Porcelain with overglaze multicolor decoration","H. 19 5/8 in x Diam. 14 1/2 in, H. 49.8 cm x Diam. 36.8 cm",2,"Jiangxi province, China; Jiangxi province",https://searchcollection.asianart.org/objects/4683/vase-with-peaches?ctx=0daadffc854885a36f182d01c611485583b27350&idx=786,https://searchcollection.asianart.org/internal/media/dispatcher/62021/preview,,The Avery Brundage Collection,B60P124+,2026-06-08,1,,
5538,,Jar with design of lions playing with a ball,1506-1521,26,Ceramics,Porcelain with underglaze blue and overglaze multicolor decoration,"Ming dynasty (1368-1644), Reign of the Zhengde emperor (1506-1521); Porcelain with underglaze blue and overglaze multicolor decoration","H. 11 3/8 in x Diam. 11 7/8 in, H. 28.9 cm x Diam. 30.2 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/4926/jar-with-design-of-lions-playing-with-a-ball?ctx=0daadffc854885a36f182d01c611485583b27350&idx=787,https://searchcollection.asianart.org/internal/media/dispatcher/16939/preview,,The Avery Brundage Collection,B60P507,2026-06-08,1,,
5539,,Vase with evergreen and dragon,1700-1800,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 10 1/4 in x W. 5 in x D. 2 5/8 in, H. 26 cm x W. 12.7 cm x D. 6.7 cm",2,China,https://searchcollection.asianart.org/objects/4953/vase-with-evergreen-and-dragon?ctx=0daadffc854885a36f182d01c611485583b27350&idx=790,https://searchcollection.asianart.org/internal/media/dispatcher/20574/preview,,The Avery Brundage Collection,B62J2,2026-06-08,1,,
5540,,Octagonal plate with the Eight Treasures and a longevity character,1522 - 1566,26,Decorative Arts,Carved red lacquer,"Ming dynasty (1368 - 1644), Reign of the Jiajing emperor (1522 - 1566); Carved red lacquer",Overall: H. 1 5/16 in × W. 6 3/8 in × D. 6 3/8 in (3.3 cm × 16.2 cm × 16.2 cm),2,China,https://searchcollection.asianart.org/objects/4975/octagonal-plate-with-the-eight-treasures-and-a-longevity-cha?ctx=0daadffc854885a36f182d01c611485583b27350&idx=791,https://searchcollection.asianart.org/internal/media/dispatcher/75423/preview,,Museum purchase,B83M10,2026-06-08,1,,
